reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,company
5873ba15-c3d3-4246-94b7-50fbb026fc7f,Catherine Maina,https://play-lh.googleusercontent.com/a-/ALV-UjW1HlTQOf1CG_C0S1CGVaf_xvDB8iDkz_ok-CgO95n_MDiUkeNT,excellent riding experience.,5,0,10.8.7.5,2025-04-25 22:23:00,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-26 12:56:56,10.8.7.5,little
5fadc273-3030-4469-b255-8be87237456b,Kitty Kay254,https://play-lh.googleusercontent.com/a/ACg8ocLxWqRmrxeGzMR_V1l4jAAKn1_25JhZlIS4lxZnnVwBFPnM1g=mo,Polite and Professional,5,0,10.8.7.5,2025-04-25 20:31:26,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-26 12:56:56,10.8.7.5,little
56f0ab31-5fc0-4aa5-bfb6-4ec2145e2e39,kelvin musyoka,https://play-lh.googleusercontent.com/a-/ALV-UjUx4GpAefClxdY-Q1vhnDc_4V84LfWQbJrPAfZdNJ07fEsVMzqk,Great,1,0,10.8.7.5,2025-04-25 07:51:18,"Greetings, thank you for your feedback. We appreciate your support.^fk",2025-04-25 16:51:20,10.8.7.5,little
3d7f7219-ba5b-4551-b2e5-fd83e696b11d,Mwendwa Kalui,https://play-lh.googleusercontent.com/a/ACg8ocIyIoMWn1Tz53S-Z3U50Z50JyKrP6jGgasatHuUhHqiswNt4M4=mo,excellent 👌,1,0,10.8.7.5,2025-04-23 20:59:54,"Greetings, thank you for your feedback. We appreciate your support.^fk",2025-04-24 13:49:46,10.8.7.5,little
ea08296d-1608-421f-b198-afae2d505ae8,Rosaylne Muthoni,https://play-lh.googleusercontent.com/a/ACg8ocIx8HO6z6Xr2Rjr4g32rl6kdY3vWwMQo_Y7iXV94AHef5Pqjw=mo,awesome,5,0,10.8.7.5,2025-04-22 11:05:28,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-22 12:44:32,10.8.7.5,little
a8fb129a-294d-4509-8421-442cd7a0a12e,rebecca adhiambo,https://play-lh.googleusercontent.com/a-/ALV-UjX06SwtMMzw7TeDKTuOsVwDupxHoa4Of8_wyr67kvJT4gsPcOXd,nice services,5,0,10.8.7.5,2025-04-21 11:23:06,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-22 10:26:39,10.8.7.5,little
ee6bf48a-b0a6-4dee-b676-e9e94832fae9,Emmaculate Nduku Mutiso,https://play-lh.googleusercontent.com/a/ACg8ocJSB6-5flGBQxcA2E1MuatpeOLJjq93cEraKtJ1qFRSnI_jdQ=mo,good app,5,0,10.8.7.5,2025-04-18 23:13:20,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk

",2025-04-19 11:51:55,10.8.7.5,little
84ea8faf-1630-4767-acb0-07e0fb97e655,Tonny Sserwanja,https://play-lh.googleusercontent.com/a-/ALV-UjUsc8AkPsMrCy7bGIhHxTeSK6L1cx4_1laRWTHjEYDKGrq8ji47,good app,5,0,10.8.7.5,2025-04-17 19:27:59,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk

",2025-04-19 11:52:02,10.8.7.5,little
79fb841c-90ae-4970-b64c-465c2bfcd7bd,Irene Chiaji,https://play-lh.googleusercontent.com/a/ACg8ocIbhaIvGMMPjHEf9X8ZK6xV3jNidGJ1_alOuivHcxNdKLkEFg=mo,Very professional,5,0,10.8.7.5,2025-04-16 11:53:21,"Greetings, thank you for your feedback and the 5-star rating. We appreciate your support.^fk",2025-04-17 12:03:30,10.8.7.5,little
002347a3-b2ce-4d65-b9fd-63c07e505a17,winny nyaboke,https://play-lh.googleusercontent.com/a-/ALV-UjVa0VdNga5G-1tLAX93ePupfCqjW1h7qX1Ohti8eeyD5NyMB7hORQ,Your charges are extracgant.,1,0,10.8.7.5,2025-04-13 20:26:56,"Greetings, thank you for your feedback.^fk",2025-04-14 17:20:44,10.8.7.5,little
